ip,hostname,city,region,country,loc,org,postal,timezone
2601:40:1:e0:f0e0:bc94:872e:dbd7,,Philadelphia,Pennsylvania,US,"39.9524,-75.1636","AS33287 Comcast Cable Communications, LLC",19099,America/New_York
222.165.206.73,ip-73-206-static.velo.net.id,Bandung,West Java,ID,"-6.9222,107.6069",AS24207 PT NettoCyber Indonesia,,Asia/Jakarta
103.41.34.94,,Mumbai,Maharashtra,IN,"19.0728,72.8826",AS138296 Juweriyah Networks Private Limited,400070,Asia/Kolkata
95.232.66.28,host-95-232-66-28.retail.telecomitalia.it,Pavia,Lombardy,IT,"45.1921,9.1592",AS3269 Telecom Italia S.p.A.,27100,Europe/Rome
50.71.210.100,s0106a84e3f6a07f3.wp.shawcable.net,Winnipeg,Manitoba,CA,"49.8665,-97.0633",AS6327 Shaw Communications Inc.,R2J,America/Winnipeg
151.47.104.244,adsl-ull-244-104.47-151.wind.it,Rome,Lazio,IT,"41.9376,12.4557",AS1267 WIND TRE S.P.A.,00135,Europe/Rome
98.234.52.220,c-98-234-52-220.hsd1.ca.comcast.net,Campbell,California,US,"37.2872,-121.9500","AS33651 Comcast Cable Communications, LLC",95008,America/Los_Angeles
2a0d:5600:41:5001::73a6,,New York City,New York,US,"40.7143,-74.0060",AS9009 M247 Europe SRL,10004,America/New_York
2409:4042:e0d:b69c:2505:9977:fe13:cac6,,Chhindwāra,Madhya Pradesh,IN,"22.0365,79.0092",AS55836 Reliance Jio Infocomm Limited,480001,Asia/Kolkata
131.230.42.88,w042088.indoor.siu.edu,Carbondale,Illinois,US,"37.7273,-89.2168",AS15119 Southern Illinois University,62901,America/Chicago
151.35.250.105,,Rome,Lazio,IT,"41.8919,12.5113",AS1267 WIND TRE S.P.A.,00118,Europe/Rome
49.179.8.199,pa49-179-8-199.pa.nsw.optusnet.com.au,Port Macquarie,New South Wales,AU,"-31.4308,152.9089",AS4804 Microplex PTY LTD,2444,Australia/Sydney
46.123.232.174,apn-123-232-174-gprs.simobil.net,Ljubljana,Ljubljana,SI,"46.0511,14.5051","AS21283 A1 Slovenija telekomunikacijske storitve,d.d.",1500,Europe/Ljubljana
2001:8f8:1e6d:6351:9dc4:59db:7313:4f60,,Ajman City,Ajman,AE,"25.4018,55.4788",AS5384 EMIRATES TELECOMMUNICATIONS GROUP COMPANY (ETISALAT GROUP) PJSC,,Asia/Dubai
209.80.140.38,209-80-140-38.client.additionnetworks.net,Revere,Massachusetts,US,"42.4084,-71.0120","AS46887 Lightower Fiber Networks I, LLC",02151,America/New_York
70.27.197.59,bras-base-toroon4423w-grc-30-70-27-197-59.dsl.bell.ca,Toronto,Ontario,CA,"43.6949,-79.5323",AS577 Bell Canada,M9P,America/Toronto
103.225.244.225,,Kathmandu,Bagmati Province,NP,"27.7017,85.3206",AS24550 Websurfer Nepal Internet Service Provider,,Asia/Kathmandu
152.32.99.172,172.99.32.152.convergeict.com,Quezon City,Metro Manila,PH,"14.6897,121.0884",AS17639 Converge ICT Solutions Inc.,0880,Asia/Manila
2a00:23c5:c6a4:df01:8cf2:8f94:fb3d:fbff,,London,England,GB,"51.5085,-0.1257",AS2856 British Telecommunications PLC,EC1A,Europe/London
2400:1a00:b030:df41:649c:62be:3ee4:d842,,Kathmandu,Bagmati Province,NP,"27.7017,85.3206",AS17501 WorldLink Communications Pvt Ltd,,Asia/Kathmandu
2600:1700:1150:6100:2062:f4dd:bb46:a20b,,Redmond,Washington,US,"47.6740,-122.1215","AS7018 AT&T Services, Inc.",98052,America/Los_Angeles
2804:431:f73c:4f0f:5c8f:8db6:331d:eb0a,,São Paulo,São Paulo,BR,"-23.5475,-46.6361",AS27699 TELEFÔNICA BRASIL S.A,01000-000,America/Sao_Paulo
209.94.137.73,209-94-137-73.s4167.c3-0.sth-cbr2.sbo-sth.ma.cable.rcncustomer.com,Revere,Massachusetts,US,"42.4084,-71.0120",AS6079 RCN,02151,America/New_York
209.232.147.98,dc1-ckf01.tustin.k12.ca.us,Santa Ana,California,US,"33.7540,-117.7919",AS23024 Orange County Department of Education,92705,America/Los_Angeles
42.60.206.95,bb42-60-206-95.singnet.com.sg,Singapore,Singapore,SG,"1.3745,103.8757",AS9506 Singtel Fibre Broadband,550500,Asia/Singapore
2405:204:539b:f794:9008:bb90:9f86:3bbe,,Hāveri,Karnataka,IN,"14.7866,75.5635",AS55836 Reliance Jio Infocomm Limited,581108,Asia/Kolkata
209.232.147.222,,Santa Ana,California,US,"33.7540,-117.7919",AS23024 Orange County Department of Education,92705,America/Los_Angeles
151.246.138.246,151-246-138-246.shatel.ir,Karaj,Alborz Province,IR,"35.8327,50.9915",AS31549 Aria Shatel Company Ltd,,Asia/Tehran
2601:3ca:204:c120:d138:4a87:f5a4:c316,,Mount Laurel,New Jersey,US,"39.9340,-74.8910","AS22258 Comcast Cable Communications, LLC",08054,America/New_York
173.54.238.56,pool-173-54-238-56.nwrknj.fios.verizon.net,Teaneck,New Jersey,US,"40.8976,-74.0160",AS701 Verizon Business,07666,America/New_York
2601:646:8000:7c50:15e9:ccb4:328e:259,,San Jose,California,US,"37.3394,-121.8950","AS33651 Comcast Cable Communications, LLC",95103,America/Los_Angeles
82.132.228.43,82-132-228-43.dab.02.net,Eton Wick,England,GB,"51.4972,-0.6344",AS35228 Telefonica UK Limited,SL4,Europe/London
67.81.120.58,ool-4351783a.dyn.optonline.net,New York City,New York,US,"40.7143,-74.0060",AS6128 Cablevision Systems Corp.,10004,America/New_York
80.43.193.73,host-80-43-193-73.as13285.net,Southend-on-Sea,England,GB,"51.5474,0.6974",AS9105 TalkTalk Communications Limited,SS0,Europe/London
202.61.141.162,,Motoyoyogichō,Tokyo,JP,"35.6719,139.6851",AS64050 BGPNET Global ASN,151-0062,Asia/Tokyo
210.186.120.14,stm-120-14.tm.net.my,Kuala Lumpur,Kuala Lumpur,MY,"3.1412,101.6865","AS4788 TM Net, Internet Service Provider",50050,Asia/Kuala_Lumpur
41.114.128.27,,Cape Town,Western Cape,ZA,"-33.8667,18.6833",AS16637 MTN SA,7560,Africa/Johannesburg
129.15.64.254,mc-nc-lower-2.wireless-pat.ou.edu,Norman,Oklahoma,US,"35.1990,-97.4841",AS25776 University of Oklahoma,73072,America/Chicago
213.7.87.63,213-87-63.netrunf.cytanet.com.cy,Nicosia,Nicosia,CY,"35.1753,33.3642",AS6866 Cyprus Telecommunications Authority,1010,Asia/Nicosia
2601:404:c880:6ee0:a15a:ad5:88d4:8a7a,,Grand Rapids,Michigan,US,"42.9737,-85.7265","AS33668 Comcast Cable Communications, LLC",49504,America/Detroit
2600:8801:960b:4500:65b7:8145:ca8c:9936,,San Diego,California,US,"32.7157,-117.1647",AS22773 Cox Communications Inc.,92101,America/Los_Angeles
2601:2c2:501:bc30:8d3d:295a:fdb:c7ce,,Houston,Texas,US,"29.7633,-95.3633","AS33662 Comcast Cable Communications, LLC",77002,America/Chicago
12.17.7.132,,Harwood Heights,Illinois,US,"41.9672,-87.8076","AS7018 AT&T Services, Inc.",60706,America/Chicago
