ip,hostname,city,region,country,loc,org,postal,timezone
183.82.105.77,183.82.105.77.actcorp.in,Hyderābād,Telangana,IN,"17.4139,78.5053",AS18209 Atria Convergence Technologies pvt ltd,500017,Asia/Kolkata
2605:a601:2071:c900:d8a7:ad73:846:3217,,Kansas City,Missouri,US,"39.0997,-94.5786",AS16591 Google Fiber Inc.,64106,America/Chicago
80.186.6.2,80-186-6-2.elisa-mobile.fi,Helsinki,Uusimaa,FI,"60.1695,24.9354",AS719 Elisa Oyj,00100,Europe/Helsinki
62.112.191.47,,Oude Meer,North Holland,NL,"52.2883,4.7861",AS16074 Capgemini Nederland B.V.,1438,Europe/Amsterdam
2601:640:8301:c70:65c1:eb3e:80f:17a1,,Millbrae,California,US,"37.5986,-122.3872","AS33651 Comcast Cable Communications, LLC",94030,America/Los_Angeles
82.234.250.62,,Paris,Île-de-France,FR,"48.8534,2.3488",AS12322 Free SAS,75000,Europe/Paris
71.13.37.234,071-013-037-234.res.spectrum.com,Duluth,Minnesota,US,"46.8147,-92.1998",AS20115 Charter Communications,55811,America/Chicago
2601:445:437f:fe66:657b:e1e0:905c:be62,,Mount Laurel,New Jersey,US,"39.9340,-74.8910","AS13367 Comcast Cable Communications, LLC",08054,America/New_York
2405:204:a3aa:fcd3:172d:abc0:881c:958d,,Saint Thomas Mount,Tamil Nadu,IN,"13.0033,80.1961",AS55836 Reliance Jio Infocomm Limited,600088,Asia/Kolkata
182.72.161.90,nsg-static-090.161.72.182.airtel.in,Delhi,Delhi,IN,"28.6519,77.2315",AS9498 BHARTI Airtel Ltd.,110001,Asia/Kolkata
182.215.79.232,,Seoul,Seoul,KR,"37.5660,126.9784",AS17858 LG POWERCOMM,03141,Asia/Seoul
217.74.213.174,,Copenhagen,Capital Region,DK,"55.7072,12.5720",AS31027 GlobalConnect A/S,2100,Europe/Copenhagen
78.47.167.62,static.62.167.47.78.clients.your-server.de,Fürstenzell,Bavaria,DE,"48.5216,13.3175",AS24940 Hetzner Online GmbH,94081,Europe/Berlin
84.42.187.252,static-84-42-187-252.bb.vodafone.cz,Prague,Hlavní město Praha,CZ,"50.0880,14.4208",AS16019 Vodafone Czech Republic a.s.,110 00,Europe/Prague
180.181.223.2,,Melbourne,Victoria,AU,"-37.8672,145.0911",AS4764 Aussie Broadband,3147,Australia/Melbourne
2a02:c7d:932:b000:3cb2:f163:4c6e:5515,,London,England,GB,"51.5085,-0.1257",AS5607 Sky UK Limited,EC1A,Europe/London
196.207.93.189,,Port Louis,Port Louis,MU,"-20.1619,57.4989",,,Indian/Mauritius
70.117.110.218,070-117-110-218.res.spectrum.com,Englewood,Colorado,US,"39.6123,-104.8799",AS11427 Charter Communications Inc,80111,America/Denver
92.127.240.104,ws.92.127.240.104.nsk.sibirtelecom.ru,Novosibirsk,Novosibirsk Oblast,RU,"55.0411,82.9344",AS12389 PJSC Rostelecom,630059,Asia/Novosibirsk
72.220.204.205,ip72-220-204-205.sd.sd.cox.net,San Diego,California,US,"32.7157,-117.1647",AS22773 Cox Communications Inc.,92101,America/Los_Angeles
143.199.125.10,gwl.com,Aurora,Colorado,US,"39.7294,-104.8319",AS21680 Great-West Life Assurance Company,80040,America/Denver
2804:14c:f425:1253:f8a3:e9ee:e2ae:4324,,São Paulo,São Paulo,BR,"-23.5475,-46.6361",AS28573 Claro NXT Telecomunicacoes Ltda,01000-000,America/Sao_Paulo
111.93.22.38,static-38.22.93.111-tataidc.co.in,Hyderābād,Telangana,IN,"17.3840,78.4564",AS45820 Tata Teleservices ISP AS,500001,Asia/Kolkata
161.200.188.125,,Bangkok,Bangkok,TH,"13.7540,100.5014",AS3839 Chulalongkorn University,10200,Asia/Bangkok
2601:647:4a04:86d0:1cdf:8f8a:5ca5:76a0,,Sunnyvale,California,US,"37.3886,-122.0177","AS33651 Comcast Cable Communications, LLC",94085,America/Los_Angeles
176.93.142.101,176-93-142-101.bb.dnainternet.fi,Helsinki,Uusimaa,FI,"60.1695,24.9354",AS16086 DNA Oyj,00100,Europe/Helsinki
206.248.130.230,206-248-130-230.dsl.teksavvy.com,Toronto,Ontario,CA,"43.7001,-79.4163","AS5645 TekSavvy Solutions, Inc.",M5A,America/Toronto
2a01:e34:ec2d:c5f0:6dc8:81:aa31:b353,,Paris,Île-de-France,FR,"48.8412,2.3876",AS12322 Free SAS,75611 CEDEX 12,Europe/Paris
220.137.88.138,220-137-88-138.dynamic-ip.hinet.net,Taoyuan City,Taiwan,TW,"24.9937,121.2970",AS3462 Data Communication Business Group,,Asia/Taipei
95.160.225.31,095160225031.swidwin.vectranet.pl,Świdwin,West Pomerania,PL,"53.7746,15.7767",AS29314 VECTRA S.A.,78-300,Europe/Warsaw
157.50.87.140,,Bengaluru,Karnataka,IN,"12.9719,77.5937",AS55836 Reliance Jio Infocomm Limited,560002,Asia/Kolkata
110.44.126.4,,Kathmandu,Bagmati Province,NP,"27.7017,85.3206",AS45650 Vianet Communications Pvt. Ltd.,,Asia/Kathmandu
172.56.6.93,,Dallas,Texas,US,"32.7831,-96.8067","AS21928 T-Mobile USA, Inc.",75201,America/Chicago
47.90.20.154,,Hong Kong,Central and Western,HK,"22.2783,114.1747","AS45102 Alibaba (US) Technology Co., Ltd.",,Asia/Hong_Kong
85.119.90.153,,Prague,Hlavní město Praha,CZ,"50.0880,14.4208",AS35361 GREPA Networks s.r.o.,110 00,Europe/Prague
2605:a601:f300:3a00:e066:bc44:1795:661b,,Provo,Utah,US,"40.1770,-111.5360",AS16591 Google Fiber Inc.,84605,America/Denver
67.168.132.98,c-67-168-132-98.hsd1.wa.comcast.net,Seattle,Washington,US,"47.7559,-122.3003","AS33650 Comcast Cable Communications, LLC",98155,America/Los_Angeles
122.163.24.244,abts-north-dynamic-244.24.163.122.airtelbroadband.in,Kolkata,West Bengal,IN,"22.5333,88.3917","AS24560 Bharti Airtel Ltd., Telemedia Services",700045,Asia/Kolkata
92.95.94.116,116.94.95.92.rev.sfr.net,Paris,Île-de-France,FR,"48.8331,2.3264",AS15557 Societe Francaise Du Radiotelephone - SFR SA,75158 CEDEX 14,Europe/Paris
86.21.61.228,cpc95224-derb16-2-0-cust483.8-3.cable.virginm.net,Derby,England,GB,"52.9228,-1.4766",AS5089 Virgin Media Limited,DE1,Europe/London
113.28.93.6,113-28-93-6.static.imsbiz.com,Hong Kong,Central and Western,HK,"22.2783,114.1747",AS4515 HKT Limited,,Asia/Hong_Kong
108.0.115.94,,Ashburn,Virginia,US,"39.0437,-77.4875",,20147,America/New_York
86.42.143.122,86-42-143-122-dynamic.b-ras1.bbh.dublin.eircom.net,Dublin,Leinster,IE,"53.3331,-6.2489",AS5466 Eircom Limited,D02,Europe/Dublin
